City,Country,Max Temp,Cloudiness,Humidity,Wind Speed,Latitude,Longitude
puerto salgar,CO,67.72,74,93,3.71,5.46,-74.66
conde,BR,69.08,10,96,3.18,-11.81,-37.61
jiujiang,CN,70.83,0,62,2.8,29.73,115.99
nemuro,JP,57.2,75,100,1.12,43.32,145.57
sur,OM,84.55,41,53,9.57,22.57,59.53
pinega,RU,42.1,100,90,9.57,64.7,43.39
mangan,IN,53.1,100,94,1.1,27.5,88.54
price,US,75.2,20,23,28.86,39.6,-110.81
galesburg,US,66.2,90,100,11.41,40.95,-90.37
griffith,AU,63.0,13,39,12.75,-34.29,146.06
winnemucca,US,44.6,90,65,5.82,40.97,-117.74
progreso,UY,63.0,0,59,9.17,-34.68,-56.22
eyl,SO,72.05,26,91,11.14,7.98,49.82
laela,TZ,63.22,1,50,1.21,-8.57,32.05
puerto leguizamo,CO,77.67,100,77,1.57,-0.19,-74.78
eucaliptus,BO,54.88,0,42,10.6,-17.6,-67.51
san patricio,PY,71.46,0,41,3.96,-26.98,-56.83
dukhovshchina,RU,47.56,98,96,8.21,55.19,32.41
weihai,CN,82.0,0,40,3.76,37.5,122.11
sarai alamgir,PK,73.35,4,82,7.34,32.9,73.75
nuuk,GL,37.4,90,100,5.82,64.17,-51.74
huarmey,PE,61.13,0,90,10.16,-10.07,-78.15
camargo,MX,84.44,58,43,4.88,27.69,-105.17
bata,GQ,77.0,40,100,15.17,1.87,9.77
namie,JP,70.0,75,94,4.7,37.52,140.86
xai-xai,MZ,62.51,3,96,2.55,-25.04,33.64
lardos,GR,75.2,0,64,9.17,36.09,28.02
bonga,ET,54.65,43,98,1.52,7.26,36.25
beringovskiy,RU,45.18,49,84,5.32,63.05,179.32
bocana de paiwas,NI,72.58,100,95,1.21,12.79,-85.12
ulaanbaatar,MN,48.2,40,39,6.82,47.92,106.92
san antonio,CL,53.6,0,93,6.93,-33.58,-71.61
behbahan,IR,71.6,0,56,0.98,30.59,50.24
zaria,NG,71.1,16,90,6.42,11.11,7.72
chara,GR,60.8,0,93,1.01,39.42,22.43
sohag,EG,77.0,0,53,4.7,26.55,31.7
rawson,AR,67.34,0,24,12.62,-43.3,-65.11
roald,NO,50.0,100,93,3.36,62.58,6.12
loiza,PR,82.4,40,78,5.82,18.43,-65.88
shchigry,RU,43.0,82,81,4.0,51.87,36.91
vinhedo,BR,69.01,0,77,16.11,-23.03,-46.98
lakeside,US,72.0,90,68,6.93,32.86,-116.92
stephenville,CA,51.8,90,93,3.36,48.55,-58.59
aketi,CD,69.25,100,98,2.71,2.74,23.78
bathsheba,BB,82.4,75,78,11.41,13.22,-59.52
nakamura,JP,84.99,75,69,8.05,35.17,136.87
nueve de julio,AR,71.69,0,19,0.89,-31.67,-68.39
velsk,RU,31.81,46,94,4.81,61.07,42.1
tianpeng,CN,72.45,0,48,1.7,28.88,112.34
merced,US,73.4,40,35,6.93,37.3,-120.48
coahuayana,MX,77.6,100,89,0.25,18.62,-100.35
sola,TZ,67.52,18,85,2.28,-3.17,33.8
shirokiy,RU,44.01,87,70,7.47,53.87,39.17
honiara,SB,91.4,20,63,13.87,-9.43,159.96
copiapo,CL,55.4,0,76,8.05,-27.37,-70.33
gasa,BT,32.33,100,97,5.57,27.91,89.73
sao joaquim,BR,55.0,37,99,4.0,-28.29,-49.93
vista hermosa,MX,75.2,90,94,4.7,14.92,-92.27
rostock,DE,57.99,75,87,11.41,54.09,12.13
surovatikha,RU,42.01,0,93,2.24,55.77,43.9
ust-kulom,RU,37.03,96,97,7.61,61.69,53.69
pasighat,IN,64.94,96,87,3.04,28.06,95.33
lebyazhye,RU,46.99,40,93,4.47,59.96,29.42
banda aceh,ID,82.08,36,73,6.91,5.56,95.32
taoudenni,ML,92.14,4,9,3.96,22.68,-3.98
suruc,TR,68.0,0,30,9.17,36.98,38.42
pimentel,BR,81.02,50,62,5.44,-3.7,-45.5
verkhoyansk,RU,31.0,21,64,3.98,67.55,133.39
san ramon,NI,69.26,100,96,1.77,12.92,-85.84
nelson bay,AU,68.0,85,55,5.82,-32.72,152.14
panukulan,PH,79.97,100,75,5.28,14.93,121.81
normandin,CA,46.4,20,75,12.75,48.84,-72.53
ngunguru,NZ,70.0,46,60,7.0,-35.62,174.5
lasa,CY,75.2,0,82,5.82,34.92,32.53
muzhi,RU,28.87,51,80,4.83,65.4,64.7
soe,EE,48.99,100,100,4.7,57.91,26.05
saint-francois,FR,48.2,0,93,4.7,46.42,3.91
darab,IR,60.55,0,49,4.68,28.75,54.55
kieta,PG,83.0,12,72,5.93,-6.22,155.63
warman,CA,43.0,90,52,8.05,52.32,-106.58
souillac,FR,57.99,0,93,2.24,45.6,-0.6
sterling,US,79.0,75,69,6.93,39.0,-77.4
esna,RO,60.01,59,64,8.66,45.2,27.57
tingi,TZ,68.49,20,63,3.24,-11.3,35.03
nizhniy kuranakh,RU,31.43,0,77,4.5,58.84,125.49
sao carlos,BR,62.6,0,82,14.99,-22.02,-47.89
atambua,ID,76.46,37,71,4.79,-9.11,124.89
xinyu,CN,71.69,0,54,0.56,27.8,114.93
manor,CA,43.0,100,71,11.99,49.6,-102.08
kenora,CA,48.2,75,65,3.36,49.76,-94.48
hirado,JP,82.99,75,100,2.24,33.32,129.49
harper,US,84.99,90,74,9.17,30.3,-99.24
batouri,CM,67.82,100,97,2.68,4.44,14.36
sambava,MG,69.03,98,98,1.99,-14.27,50.17
muli,CN,70.33,0,56,0.63,28.08,109.56
wanning,AT,54.0,75,93,1.12,48.64,13.53
lethem,GY,81.95,74,67,2.55,3.38,-59.8
iaciara,BR,71.82,92,76,4.9,-14.1,-46.63
sorland,NO,47.02,100,81,25.88,67.67,12.69
hambantota,LK,77.53,100,83,5.19,6.12,81.12
harlingen,NL,62.6,90,87,11.41,53.18,5.41
bartica,GY,77.0,40,94,4.7,6.41,-58.62
kruisfontein,ZA,59.45,100,93,3.6,-34.0,24.73
pevek,RU,35.21,100,97,26.51,69.7,170.27
axim,GH,76.7,100,91,10.09,4.87,-2.24
aldan,RU,31.43,0,77,4.5,58.61,125.39
cobija,BR,84.13,38,42,2.15,-11.02,-68.77
nisia floresta,BR,78.8,40,78,11.41,-6.09,-35.21
fiumicino,IT,69.01,20,94,2.24,41.77,12.23
sistranda,NO,55.99,0,93,4.7,63.73,8.83
saint-augustin,CA,64.4,40,100,5.82,45.63,-73.98
berdigestyakh,RU,32.09,0,84,7.72,62.1,126.7
morondava,MG,73.13,0,67,5.95,-20.3,44.28
puerto varas,CL,50.0,75,93,12.75,-41.32,-72.98
finschhafen,PG,75.38,67,71,5.77,-6.6,147.85
igrim,RU,27.11,7,90,2.46,63.19,64.42
liverpool,GB,55.0,75,100,18.34,53.41,-2.98
veraval,FR,60.8,0,82,14.99,49.65,0.71
